Year,Pacific Landings,Caribbean Landings,Total Landings,Economic Value,ONI,
1980,0,6444,6509,,Nino,
1981,0,6868,7231,,Normal,
1982,243,6364,6607,,Nino,
1983,34,8553,8587,,Nina,
1984,64,5770,5834,,Nina,
1985,568,6000,6568,,Nina,
1986,499,9337,9836,,Nino,
1987,281,8136,8417,,Nino,
1988,773,7573,8346,,Nina,
1989,1321,12115,13436,,Nina,
1990,1002,15386,16388,,Normal,
1991,1479,15339,16818,,Nino,
1992,838,16297,17135,,Nino,
1993,1204,15791,16995,119228,Normal,
1994,975,16826,17801,128571,Nino,
1995,877,18958,19803,168323,Nina,
1996,1257,28572,29829,470317,Normal,
1997,944,17776,18720,329208,Nino,
1998,755,16478,17233,328421,Nina,
1999,1094,19081,20175,290924,Nina,
2000,866,21117,23346,273281,Nina,
2001,819,19428,21433,320990,Normal,
2002,676,16018,16693,385708,Nino,
2003,1044,15713,16757,441075,Normal,
2004,1172,24269,25441,567157,Nino,
2005,758,9919,10677,244399,Normal,
2006,945,26208,27153,748481,Nino,
2007,1004,18730,19733,580864334,Nina,
2008,1166,11355,12521,369610,Nina,
2009,1217,24463,25680,607635,Nino,
2010,1183,21985,23167,557370071,Nina,
2011,1275,26266,27541,868350,Nina,
2012,1411,29547,30958,781265,Normal,
2013,1672,23175,24846,648497,Normal,
,,,,,,
